"List of employers who were issued a positive Labour Market Impact Assessment (LMIA) by Stream,  National Occupational Classification (NOC) 2011 and business location in 2017 (July-September)",,,,,
Province/Territory,Stream,Employer,Address,Occupations under NOC 2011,Positions Approved
,,BNL 20th Anniversary Touring Inc.,"Montreal, QC H3B 1R1",7513-Taxi and limousine drivers and chauffeurs,1
,,BNP Paribas Solutions TI Canada Inc.,"Montréal, QC H3A 2W8",2171-Information systems analysts and consultants,2
,,Brookfield Energy Marketing Inc.,"Gatineau, QC J8X 2A1","1113-Securities agents, investment dealers and brokers",1
,,BSP Concept Inc.,"Montreal, QC H4P 2B5",1121-Human resources professionals,1
,,C.H. Express inc,"St-Jean-sur-Richelieu, QC J2X 5A9",7511-Transport truck drivers,1
,,C.T. CONSULTANTS INC.,"Laval, QC H7M 2P4",2174-Computer programmers and interactive media developers,1
,,Caisse de Dépôt et Placements du Québec,"Montréal, QC H2Z 2B3",1112-Financial and investment analysts,1
,,Canadian National Railway Company,"Montréal, QC H3B 2M9","0016-Senior managers - construction, transportation, production and utilities",1
,,,,2171-Information systems analysts and consultants,1
,,,,2281-Computer network technicians,1
,,Carrosserie Vaudreuil-Dorion Inc.,"Vaudreuil-Dorion, QC J7V 2T8",1241-Administrative assistants,1
,,,,"7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,CDID inc.,"St-Georges, QC G5Y 7H5",2174-Computer programmers and interactive media developers,1
,,,,2281-Computer network technicians,1
,,Centre de Collision Centre-Ville Inc.,"Montreal, QC H3K 2A4",7322-Motor vehicle body repairers,1
,,Centre de collision Dollard-Des-Ormeaux Inc,"Dollard-des-Ormeaux, QC H9B 1Z9",7322-Motor vehicle body repairers,1
,,Centre de Santé et de Services Sociaux de Laval,"Laval, QC H7V 3Y7",3112-General practitioners and family physicians,1
,,Centre Débosselage G.L Inc.,"Cap St-Ignace, QC G0R 1H0",7322-Motor vehicle body repairers,1
,,Centre Educapp,"Montreal, QC H2C 1S7",3141-Audiologists and speech-language pathologists,1
,,CFR Dorchester Inc,"Sainte-Claire, QC G0R 2V0",7237-Welders and related machine operators,1
,,Chromo Solutions d'Affaires Inc.,"Gatineau, QC J8T 2R9",2174-Computer programmers and interactive media developers,1
,,CHU de Québec - Université Laval,"Québec, QC G1R 2J6",3111-Specialist physicians,1
,,CHU Sainte-Justine,"Montréal, QC H3T 1C5",3012-Registered nurses and registered psychiatric nurses,1
,,Cinesite Inc.,"Montréal, QC H2Y 0A3",2173-Software engineers and designers,1
,,,,"5131-Producers, directors, choreographers and related occupations",1
,,,,5241-Graphic designers and illustrators,6
,,Cirque du Soleil Inc.,"Montréal, QC H1Z 4M6",0311-Managers in health care,1
,,,,"4167-Recreation, sports and fitness policy researchers, consultants and program officers",3
,,CISSS de l'Abitibi-Témiscamingue,"Val d'or, QC J9P 3Y2",3012-Registered nurses and registered psychiatric nurses,2
,,,,3112-General practitioners and family physicians,1
,,CIUSSS de l'Est-de l'Ile-de Montréal,"Montréal, QC H1T 2M4",3012-Registered nurses and registered psychiatric nurses,3
,,Club Spa Inc,"Québec, QC G1C 1A1",7333-Electrical mechanics,1
